12345678A,ES9121000418450200051332
23456789B,ES7000246912501319658521
34567890C,ES1720852066623456789011
45678901D,ES3501826294125974236541
56789012E,ES1000492352082414205416
67890123F,ES0701822200161951591354
78901234G,ES1720852066629876543210
89012345H,ES9121000418450200051333
90123456I,ES7000246912501319658522
01234567J,ES1720852066623456789012
12345678A,ES3501826294125974236542
23456789B,ES1000492352082414205417
34567890C,ES0701822200161951591355
45678901D,ES1720852066629876543211
56789012E,ES9121000418450200051334
